Method key,Method,Dataset,Dataset label,Model key,Model,Setting key,Setting,Local epochs,Config rounds,Seed,Observed rounds,Complete run,Status,Analysis use,Result source,Log path
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,3,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-heter-e3-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,heter,Heter,5,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-heter-e5-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,1,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-homo-e1-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,2,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-homo-e2-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,3,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-homo-e3-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz,Wizard,tinyllama,TinyLlama,homo,Homo,5,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz-tinyllama-homo-e5-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,1,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-heter-e1-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,2,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-heter-e2-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,3,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-heter-e3-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,heter,Heter,5,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-heter-e5-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,1,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-homo-e1-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,2,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-homo-e2-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,3,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-homo-e3-r10/seed0/10/log.txt
nonlinear_flora,Nonlinear FLoRA Cumulative,wiz_stratified,Wizard stratified,tinyllama,TinyLlama,homo,Homo,5,10,0,10,True,complete,selection + plots,score log,epoch_round_tuning_nonlinear_flora_cumulative/tuning-nonlinear_flora-wiz_stratified-tinyllama-homo-e5-r10/seed0/10/log.txt
